distance,U_0,U_1,U_2
1.001,13.5,0,0
1.003,13.5,0,0
1.00501,13.5,0,0
1.00701,13.5,0,0
1.00901,13.5,0,0
1.01101,13.5,0,0
1.01301,13.5,0,0
1.01502,13.5,0,0
1.01702,13.5,0,0
1.01902,13.5,0,0
1.02102,13.5,0,0
1.02302,13.5,0,0
1.02503,13.5,0,0
1.02703,13.5,0,0
1.02903,13.5,0,0
1.03103,13.5,0,0
1.03303,13.5,0,0
1.03504,13.5,0,0
1.03704,13.5,0,0
1.03904,13.5,0,0
1.04104,13.5,0,0
1.04304,13.5,0,0
1.04505,13.5,0,0
1.04705,13.5,0,0
1.04905,13.5,0,0
1.05105,13.5,0,0
1.05305,13.5,0,0
1.05506,13.5,0,0
1.05706,13.5,0,0
1.05906,13.5,0,0
1.06106,13.5,0,0
1.06306,13.5,0,0
1.06507,13.5,0,0
1.06707,13.5,0,0
1.06907,13.5,0,0
1.07107,13.5,0,0
1.07307,13.5,0,0
1.07508,13.5,0,0
1.07708,13.5,0,0
1.07908,13.5,0,0
1.08108,13.5,0,0
1.08308,13.5,0,0
1.08509,13.5,0,0
1.08709,13.5,0,0
1.08909,13.5,0,0
1.09109,13.5,0,0
1.09309,13.5,0,0
1.0951,13.5,0,0
1.0971,13.5,0,0
1.0991,13.5,0,0
1.1011,13.5,0,0
1.1031,13.5,0,0
1.10511,13.5,0,0
1.10711,13.5,0,0
1.10911,13.5,0,0
1.11111,13.5,0,0
1.11311,13.5,0,0
1.11512,13.5,0,0
1.11712,13.5,0,0
1.11912,13.5,0,0
1.12112,13.5,0,0
1.12312,13.5,0,0
1.12513,13.5,0,0
1.12713,13.5,0,0
1.12913,13.5,0,0
1.13113,13.5,0,0
1.13313,13.5,0,0
1.13514,13.5,0,0
1.13714,13.5,0,0
1.13914,13.5,0,0
1.14114,13.5,0,0
1.14314,13.5,0,0
1.14515,13.5,0,0
1.14715,13.5,0,0
1.14915,13.5,0,0
1.15115,13.5,0,0
1.15315,13.5,0,0
1.15516,13.5,0,0
1.15716,13.5,0,0
1.15916,13.5,0,0
1.16116,13.5,0,0
1.16316,13.5,0,0
1.16517,13.5,0,0
1.16717,13.5,0,0
1.16917,13.5,0,0
1.17117,13.5,0,0
1.17317,13.5,0,0
1.17518,13.5,0,0
1.17718,13.5,0,0
1.17918,13.5,0,0
1.18118,13.5,0,0
1.18318,13.5,0,0
1.18519,13.5,0,0
1.18719,13.5,0,0
1.18919,13.5,0,0
1.19119,13.5,0,0
1.19319,13.5,0,0
1.1952,13.5,0,0
1.1972,13.5,0,0
1.1992,13.5,0,0
1.2012,13.5,0,0
1.2032,13.5,0,0
1.20521,13.5,0,0
1.20721,13.5,0,0
1.20921,13.5,0,0
1.21121,13.5,0,0
1.21321,13.5,0,0
1.21522,13.5,0,0
1.21722,13.5,0,0
1.21922,13.5,0,0
1.22122,13.5,0,0
1.22322,13.5,0,0
1.22523,13.5,0,0
1.22723,13.5,0,0
1.22923,13.5,0,0
1.23123,13.5,0,0
1.23323,13.5,0,0
1.23524,13.5,0,0
1.23724,13.5,0,0
1.23924,13.5,0,0
1.24124,13.5,0,0
1.24324,13.5,0,0
1.24525,13.5,0,0
1.24725,13.5,0,0
1.24925,13.5,0,0
1.25125,13.5,0,0
1.25325,13.5,0,0
1.25526,13.5,0,0
1.25726,13.5,0,0
1.25926,13.5,0,0
1.26126,13.5,0,0
1.26326,13.5,0,0
1.26527,13.5,0,0
1.26727,13.5,0,0
1.26927,13.5,0,0
1.27127,13.5,0,0
1.27327,13.5,0,0
1.27528,13.5,0,0
1.27728,13.5,0,0
1.27928,13.5,0,0
1.28128,13.5,0,0
1.28328,13.5,0,0
1.28529,13.5,0,0
1.28729,13.5,0,0
1.28929,13.5,0,0
1.29129,13.5,0,0
1.29329,13.5,0,0
1.2953,13.5,0,0
1.2973,13.5,0,0
1.2993,13.5,0,0
1.3013,13.5,0,0
