y,R_0,R_1,R_2,R_3,R_4,R_5
1.58333,1.28,0.56532,0,1.28,2.25499e-36,1.28
1.59889,1.3108,0.580145,0,1.3108,2.25434e-36,1.3108
1.61444,1.34193,0.594924,0,1.34193,2.25355e-36,1.34193
1.63,1.37339,0.609651,0,1.37339,2.25261e-36,1.37339
1.64556,1.40517,0.624318,0,1.40517,2.2515e-36,1.40517
1.66111,1.43728,0.638915,0,1.43728,2.2502e-36,1.43728
1.67667,1.46973,0.653433,0,1.46973,2.24868e-36,1.46973
1.69222,1.50252,0.667888,0,1.50252,2.24702e-36,1.50252
1.70667,1.53333,0.680967,0,1.53333,2.24448e-36,1.53333
1.71978,1.56156,0.692903,0,1.56156,2.24245e-36,1.56156
1.73242,1.58905,0.704281,0,1.58905,2.24016e-36,1.58905
1.74461,1.61583,0.715133,0,1.61583,2.23766e-36,1.61583
1.75635,1.64192,0.725469,0,1.64192,2.23494e-36,1.64192
1.76768,1.66734,0.735295,0,1.66734,2.23197e-36,1.66734
1.7786,1.69213,0.744619,0,1.69213,2.22875e-36,1.69213
1.78912,1.7163,0.753444,0,1.7163,2.22524e-36,1.7163
1.79927,1.73987,0.761774,0,1.73987,2.22143e-36,1.73987
1.80905,1.76288,0.76961,0,1.76288,2.21729e-36,1.76288
1.81849,1.78533,0.776949,0,1.78533,2.21277e-36,1.78533
1.82758,1.80724,0.783787,0,1.80724,2.20785e-36,1.80724
1.83635,1.82864,0.790118,0,1.82864,2.20247e-36,1.82864
1.8448,1.84954,0.795929,0,1.84954,2.19659e-36,1.84954
1.85295,1.86994,0.801207,0,1.86994,2.19013e-36,1.86994
1.8608,1.88985,0.805929,0,1.88985,2.18304e-36,1.88985
1.86838,1.90926,0.810069,0,1.90926,2.17521e-36,1.90926
1.87568,1.92816,0.813594,0,1.92816,2.16655e-36,1.92816
1.88272,1.94653,0.81646,0,1.94653,2.15692e-36,1.94653
1.8895,1.96433,0.818611,0,1.96433,2.14618e-36,1.96433
1.89605,1.98151,0.819978,0,1.98151,2.13414e-36,1.98151
1.90235,1.99796,0.820472,0,1.99796,2.12056e-36,1.99796
1.90844,2.01358,0.819983,0,2.01358,2.10517e-36,2.01358
1.9143,2.02817,0.818366,0,2.02817,2.0876e-36,2.02817
1.91995,2.0415,0.815438,0,2.0415,2.0674e-36,2.0415
