# y+ ()       
# Time        	patch         	min           	max           	average       
79            	bottom	5.273619e-01	5.273619e-01	5.273619e-01
79            	top	5.273537e-01	5.273537e-01	5.273537e-01
80            	bottom	5.273633e-01	5.273633e-01	5.273633e-01
80            	top	5.273562e-01	5.273562e-01	5.273562e-01
81            	bottom	5.273648e-01	5.273648e-01	5.273648e-01
81            	top	5.273584e-01	5.273584e-01	5.273584e-01
82            	bottom	5.273661e-01	5.273661e-01	5.273661e-01
82            	top	5.273603e-01	5.273603e-01	5.273603e-01
83            	bottom	5.273672e-01	5.273672e-01	5.273672e-01
83            	top	5.273617e-01	5.273617e-01	5.273617e-01
84            	bottom	5.273686e-01	5.273686e-01	5.273686e-01
84            	top	5.273634e-01	5.273634e-01	5.273634e-01
85            	bottom	5.273697e-01	5.273697e-01	5.273697e-01
85            	top	5.273647e-01	5.273647e-01	5.273647e-01
86            	bottom	5.273721e-01	5.273721e-01	5.273721e-01
86            	top	5.273681e-01	5.273681e-01	5.273681e-01
87            	bottom	5.273746e-01	5.273746e-01	5.273746e-01
87            	top	5.273711e-01	5.273711e-01	5.273711e-01
88            	bottom	5.273770e-01	5.273770e-01	5.273770e-01
88            	top	5.273741e-01	5.273741e-01	5.273741e-01
89            	bottom	5.273794e-01	5.273794e-01	5.273794e-01
89            	top	5.273771e-01	5.273771e-01	5.273771e-01
90            	bottom	5.273826e-01	5.273826e-01	5.273826e-01
90            	top	5.273812e-01	5.273812e-01	5.273812e-01
91            	bottom	5.273864e-01	5.273864e-01	5.273864e-01
91            	top	5.273859e-01	5.273859e-01	5.273859e-01
92            	bottom	5.273963e-01	5.273963e-01	5.273963e-01
92            	top	5.274004e-01	5.274004e-01	5.274004e-01
93            	bottom	5.274120e-01	5.274120e-01	5.274120e-01
93            	top	5.274238e-01	5.274238e-01	5.274238e-01
94            	bottom	5.274133e-01	5.274133e-01	5.274133e-01
94            	top	5.274229e-01	5.274229e-01	5.274229e-01
95            	bottom	5.274478e-01	5.274478e-01	5.274478e-01
95            	top	5.273608e-01	5.273608e-01	5.273608e-01
96            	bottom	5.274513e-01	5.274513e-01	5.274513e-01
96            	top	5.274095e-01	5.274095e-01	5.274095e-01
97            	bottom	5.274317e-01	5.274317e-01	5.274317e-01
97            	top	5.274203e-01	5.274203e-01	5.274203e-01
98            	bottom	5.274299e-01	5.274299e-01	5.274299e-01
98            	top	5.274187e-01	5.274187e-01	5.274187e-01
99            	bottom	5.274288e-01	5.274288e-01	5.274288e-01
99            	top	5.274182e-01	5.274182e-01	5.274182e-01
100           	bottom	5.274282e-01	5.274282e-01	5.274282e-01
100           	top	5.274181e-01	5.274181e-01	5.274181e-01
