y,U_0,U_1,U_2
0.794795,15.2174,1.19874e-08,8.20413e-18
0.796797,15.221,1.19168e-08,1.37189e-17
0.798799,15.2246,1.18461e-08,1.92337e-17
0.800801,15.2283,1.1771e-08,2.26948e-17
0.802803,15.2319,1.16895e-08,2.30754e-17
0.804805,15.2355,1.1608e-08,2.3456e-17
0.806807,15.2392,1.15264e-08,2.38365e-17
0.808809,15.2428,1.14449e-08,2.42171e-17
0.810811,15.2464,1.13634e-08,2.45977e-17
0.812813,15.2501,1.12818e-08,2.49782e-17
0.814815,15.2537,1.12003e-08,2.53588e-17
0.816817,15.2573,1.11188e-08,2.57394e-17
0.818819,15.2608,1.10454e-08,2.61436e-17
0.820821,15.2641,1.09898e-08,2.65985e-17
0.822823,15.2671,1.09137e-08,2.68591e-17
0.824825,15.27,1.08288e-08,2.70349e-17
0.826827,15.2729,1.07439e-08,2.72107e-17
0.828829,15.2757,1.06589e-08,2.73865e-17
0.830831,15.2786,1.0574e-08,2.75624e-17
0.832833,15.2815,1.04891e-08,2.77382e-17
0.834835,15.2843,1.04042e-08,2.7914e-17
0.836837,15.2872,1.03192e-08,2.80898e-17
0.838839,15.29,1.02343e-08,2.82657e-17
0.840841,15.2929,1.01462e-08,2.56051e-17
0.842843,15.2958,1.00538e-08,1.90276e-17
0.844845,15.2986,9.96138e-09,1.24501e-17
0.846847,15.3015,9.86894e-09,5.87255e-18
0.848849,15.3044,9.77651e-09,-7.04969e-19
0.850851,15.3072,9.68408e-09,-7.28248e-18
0.852853,15.3101,9.59165e-09,-1.386e-17
0.854855,15.3129,9.49921e-09,-2.04375e-17
0.856857,15.3158,9.40678e-09,-2.7015e-17
0.858859,15.3183,9.28727e-09,-2.75459e-17
0.860861,15.3208,9.16324e-09,-2.70689e-17
0.862863,15.3232,9.03922e-09,-2.6592e-17
0.864865,15.3255,8.93112e-09,-2.30506e-17
0.866867,15.3276,8.83304e-09,-1.75798e-17
0.868869,15.3297,8.73497e-09,-1.2109e-17
0.870871,15.3318,8.6369e-09,-6.63818e-18
0.872873,15.3339,8.53882e-09,-1.16736e-18
0.874875,15.3361,8.44075e-09,4.30346e-18
0.876877,15.3382,8.34268e-09,9.77428e-18
0.878879,15.3403,8.24461e-09,1.52451e-17
0.880881,15.3424,8.14465e-09,1.53195e-17
0.882883,15.3446,8.0423e-09,8.52581e-18
0.884885,15.3467,7.93994e-09,1.7321e-18
0.886887,15.3488,7.83759e-09,-5.06161e-18
0.888889,15.3509,7.73523e-09,-1.18553e-17
0.890891,15.353,7.63288e-09,-1.8649e-17
0.892893,15.3552,7.52993e-09,-2.53476e-17
0.894895,15.3569,7.3944e-09,-2.68114e-17
0.896897,15.3586,7.25887e-09,-2.82752e-17
0.898899,15.3603,7.12334e-09,-2.97389e-17
0.900901,15.362,6.9878e-09,-3.12027e-17
0.902903,15.3637,6.85227e-09,-3.26665e-17
0.904905,15.3655,6.71674e-09,-3.41303e-17
0.906907,15.3672,6.58121e-09,-3.55941e-17
0.908909,15.3689,6.44567e-09,-3.70579e-17
0.910911,15.3703,6.33412e-09,-3.31475e-17
0.912913,15.3717,6.22496e-09,-2.86997e-17
0.914915,15.3731,6.1158e-09,-2.4252e-17
0.916917,15.3745,6.00665e-09,-1.98042e-17
0.918919,15.3759,5.89749e-09,-1.53564e-17
0.920921,15.3773,5.78783e-09,-1.51691e-17
0.922923,15.3787,5.67758e-09,-1.99832e-17
0.924925,15.3801,5.56733e-09,-2.47972e-17
0.926927,15.3815,5.45709e-09,-2.96113e-17
0.928929,15.3828,5.34052e-09,-3.35029e-17
0.930931,15.3838,5.19486e-09,-3.3151e-17
0.932933,15.3848,5.0492e-09,-3.2799e-17
0.934935,15.3858,4.90354e-09,-3.2447e-17
0.936937,15.3868,4.75789e-09,-3.20951e-17
0.938939,15.3878,4.61223e-09,-3.17431e-17
0.940941,15.3888,4.46657e-09,-3.13912e-17
0.942943,15.3898,4.32092e-09,-3.10392e-17
0.944945,15.3908,4.17526e-09,-3.06873e-17
0.946947,15.3918,4.0296e-09,-3.03353e-17
0.948949,15.3928,3.88394e-09,-2.99833e-17
0.950951,15.3938,3.73829e-09,-2.96314e-17
0.952953,15.3948,3.59263e-09,-2.92794e-17
0.954955,15.3958,3.45233e-09,-2.81253e-17
0.956957,15.3965,3.33283e-09,-2.38514e-17
0.958959,15.3971,3.21334e-09,-1.95776e-17
0.960961,15.3978,3.09452e-09,-2.03655e-17
0.962963,15.3985,2.97642e-09,-2.66369e-17
0.964965,15.3991,2.84592e-09,-2.96214e-17
0.966967,15.3994,2.69128e-09,-2.62046e-17
0.968969,15.3997,2.53664e-09,-2.27879e-17
0.970971,15.4,2.382e-09,-1.93711e-17
0.972973,15.4003,2.22736e-09,-1.59544e-17
0.974975,15.4006,2.07272e-09,-1.25377e-17
0.976977,15.4009,1.91808e-09,-9.12093e-18
0.978979,15.4012,1.76344e-09,-5.70419e-18
0.980981,15.4015,1.6088e-09,-2.28746e-18
0.982983,15.4018,1.45416e-09,1.12928e-18
0.984985,15.4021,1.29952e-09,4.54602e-18
0.986987,15.4024,1.14488e-09,7.96276e-18
0.988989,15.4027,9.90234e-10,1.13795e-17
0.990991,15.403,8.35593e-10,1.47962e-17
0.992993,15.4033,6.80953e-10,1.8213e-17
0.994995,15.4036,5.26312e-10,2.16297e-17
0.996997,15.4039,3.71671e-10,2.50464e-17
0.998999,15.4042,2.1703e-10,2.84632e-17
1.001,15.4042,5.85573e-11,3.11594e-17
1.003,15.4039,-1.03748e-10,3.31352e-17
1.00501,15.4036,-2.66054e-10,3.51109e-17
1.00701,15.4033,-4.28359e-10,3.70866e-17
1.00901,15.403,-5.90665e-10,3.90624e-17
1.01101,15.4027,-7.5297e-10,4.10381e-17
1.01301,15.4024,-9.15276e-10,4.30139e-17
1.01502,15.4021,-1.07758e-09,4.49896e-17
1.01702,15.4018,-1.23989e-09,4.69653e-17
1.01902,15.4015,-1.40219e-09,4.89411e-17
1.02102,15.4012,-1.5645e-09,5.09168e-17
1.02302,15.4009,-1.7268e-09,5.28925e-17
1.02503,15.4006,-1.88911e-09,5.48683e-17
1.02703,15.4003,-2.05141e-09,5.6844e-17
1.02903,15.4,-2.21372e-09,5.88198e-17
1.03103,15.3997,-2.37602e-09,6.07955e-17
1.03303,15.3994,-2.53833e-09,6.27712e-17
1.03504,15.3991,-2.70064e-09,6.4747e-17
1.03704,15.3985,-2.88786e-09,6.42526e-17
1.03904,15.3978,-3.08788e-09,6.24898e-17
1.04104,15.3971,-3.28561e-09,6.3929e-17
1.04304,15.3965,-3.48123e-09,6.8324e-17
1.04505,15.3958,-3.67685e-09,7.27191e-17
1.04705,15.3948,-3.85106e-09,7.44392e-17
1.04905,15.3938,-4.01977e-09,7.54715e-17
1.05105,15.3928,-4.18847e-09,7.65038e-17
1.05305,15.3918,-4.35718e-09,7.75361e-17
